weapon,driverHz,shotCount,paintStamps,impacts,peakProjectiles,scenario,gridHash,charge,lastPaintForward,maxOwnedForward,ownedWidth,ownedDepth,centerlineContinuous,connectedReach,ownedArea,simulationMilliseconds,inkSpent,attackSeconds,ownedAreaPerSecond,ownedAreaPer100Ink,emittedProjectiles,fullActions,fullTank,targetValidated,captureSet
6,60,20,60,20,4,continuous,2abc2a3c81c4768881d02df0d0b8a6068a14b9bb150b8368df09e69992b3f83d,1.0,17.89508056640625,19.25,2.875,20.0,0.75,0.875,6.328125,106.4838,10.606060028076172,1.3333333333333333,4.74609375,59.66518182292294,20,False,False,False,after-direct
6,60,1,3,1,1,flat,eaf9320b35d9cf649da2c8f83bfc3f0ca5cb7cfe2e6784f7946aae12e5d2e6aa,1.0,17.89508056640625,19.25,2.75,20.0,0.75,0.875,5.453125,51.3768,0.5303030014038086,0.06666666666666667,81.796875,1028.303627466672,1,False,False,False,after-direct
6,60,1,3,1,1,high-drop,4cfc261a79fa18aed6930a3833356996effb85830f3cd48f460b1d72bc293243,1.0,21.4281005859375,22.625,2.875,23.375,0.75,0.875,5.3125,69.2859,0.5303030014038086,0.06666666666666667,79.6875,1001.7857688787062,1,False,False,False,after-direct
6,60,1,15,1,1,wall-middle,83819888bda16d89ae812fafe1da9297295854bfbd68667a766eeb9df3bab78f,1.0,6.0,6.375,3.25,7.25,0.75,0.875,7.0625,69.5847,0.5303030014038086,0.06666666666666667,105.9375,1331.78578686228,1,False,False,False,after-direct
7,60,20,110,20,3,continuous,663b62944b40d2e7a765d9e0c80e73597faac69d2c6f47d1c10695faad38b9be,0.0,18.73297119140625,19.5,2.25,20.375,1.375,1.5,25.453125,126.9988,160.0,10.666666666666663,2.386230468750001,15.908203125,20,False,False,False,after-direct
7,60,1,10,1,1,flat,d996d9e661f430d2935a693ea86e211af306ae2b620294f3e224a0e1ab34e555,0.0,18.06201171875,19.25,2.25,20.125,1.375,1.5,24.09375,60.2911,8.0,0.533333333333333,45.17578125000003,301.171875,1,False,False,False,after-direct
7,60,1,9,1,1,high-drop,382cdf1556e5e17eabf5118c10102467e7c93f10d721cb2b75dbde2d62526a39,0.0,22.3817138671875,23.375,2.25,24.25,1.375,1.5,21.640625,72.2429,8.0,0.533333333333333,40.57617187500003,270.5078125,1,False,False,False,after-direct
7,60,1,11,1,1,wall-middle,7c6fc5aa9f0a42f868581b83c099a366fb86585b17e8be7980777c64cb2e0204,0.0,6.0,7.125,4.0,15.0,1.375,6.75,20.984375,65.9083,8.0,0.533333333333333,39.34570312500003,262.3046875,1,False,False,False,after-direct
1,60,20,64,20,3,continuous,e07a39aa7ad8935e4e45d460127685d2286e7c3c31b20703d1bd37b64d052e4d,0.0,10.4937744140625,11.875,3.25,13.0,11.5,11.875,22.796875,72.9174,18.40000033378601,2.033333333333333,11.21157786885246,123.8960575350668,20,True,False,False,after-actions
1,60,1,4,1,1,flat,6ed9114cc74a52158a25e6acfa0ac186b3ba09c9bf338d276c82be80d620006c,0.0,10.4659423828125,11.875,2.375,12.875,1.125,1.375,7.6875,37.3705,0.9200000166893005,0.13333333333333333,57.65625,835.5978109287577,1,True,False,False,after-actions
1,60,1,4,1,1,high-drop,6149a38c5096f95dcc32c30eb641dd0196c9f34df29ff9608fa875f615585d4f,0.0,12.80584716796875,14.0,2.5,15.0,1.125,1.375,7.484375,37.4493,0.9200000166893005,0.13333333333333333,56.1328125,813.5190069814531,1,True,False,False,after-actions
1,60,20,64,20,3,moving,f2727ec7b2f70cf77970dc5328ee12333d020eccacde105f7587168b10286823,0.0,10.4937744140625,11.875,6.25,13.0,1.125,11.875,44.171875,75.8386,18.40000033378601,2.033333333333333,21.723872950819672,240.06453368857703,20,True,False,False,after-actions
1,60,20,64,20,3,sweep,3ba2af78aeaceff88eec806c4999e20e540cceeb9a3308d7e9fc540b13eb3a93,0.0,10.449951171875,11.875,7.875,13.125,3.125,11.875,36.59375,78.4023,18.40000033378601,2.033333333333333,17.996926229508198,198.87907247918196,20,True,False,False,after-actions
1,60,108,339,108,4,tank,9ff467bb808378dcf66267bf8443a961b9175e1768bf702f8c79db9c42d4ce11,0.0,10.86663818359375,12.25,3.625,13.625,12.25,12.25,29.671875,241.96210000000002,99.35986894369125,10.833333333333332,2.738942307692308,29.863037577893248,108,True,True,False,after-actions
1,60,1,17,1,1,wall-middle,f3b05173bc9bc3ef7711c376f2ea9c980fa24820ed1d54fd747accc0bbbca7ae,0.0,6.0,6.25,3.625,7.25,1.125,1.375,8.03125,43.6387,0.9200000166893005,0.13333333333333333,60.234375,872.9619406857346,1,True,False,False,after-actions
2,60,20,64,20,2,continuous,d6e67d62f00621d9f64aaee59e62e578fe60cedce87bb660271837bd77e3c125,0.0,12.380126953125,14.125,2.625,15.375,2.5,2.75,15.875,80.8536,27.999999523162842,3.000000003576279,5.2916666603585085,56.69642953696301,20,True,False,False,after-actions
2,60,1,4,1,1,flat,0eab0eb6b31d694eee2ff7e527f0a85a31c70260401e0fc9b563da2e8cd0f604,0.0,12.03436279296875,13.25,2.375,14.125,0.875,2.375,8.234375,50.8647,1.399999976158142,0.15000000357627877,54.895832024514675,588.1696528736123,1,True,False,False,after-actions
2,60,1,4,1,1,high-drop,2184592ff10ff56e5419fd5efce3b9256657e4dbc4cdc20ffec5174f6c96be83,0.0,16.60247802734375,17.625,2.375,18.5,0.875,2.375,7.796875,53.09,1.399999976158142,0.15000000357627877,51.97916542738676,556.919652341428,1,True,False,False,after-actions
2,60,20,64,20,2,moving,65d8b055734d476f82e70cf0b4f58c98475fe450325a8f205f24c7b0fafe780c,0.0,12.380126953125,14.125,6.875,15.375,2.125,2.75,41.15625,107.0368,27.999999523162842,3.000000003576279,13.718749983645974,146.9866096460242,20,True,False,False,after-actions
2,60,20,64,20,2,sweep,af17a1fcbd16f2219d99e9d35e444198b5ef1d0f7d4dea7d125b1da921abb7b4,0.0,12.2733154296875,13.75,14.125,15.0,2.125,2.75,51.390625,101.8143,27.999999523162842,3.000000003576279,17.130208312912533,183.5379495542041,20,True,False,False,after-actions
